,,Temp,Hi,Low,Out,Dew,Wind,Wind,Wind,Hi,Hi,Wind,Heat,THW,,,Rain,Heat,Cool,In ,In,In ,In ,In ,In Air,Wind,Wind,ISS ,Arc.
Date,Time,Out,Temp,Temp,Hum,Pt.,Speed,Dir,Run,Speed,Dir,Chill,Index,Index,Bar  ,Rain,Rate,D-D ,D-D ,Temp,Hum,Dew,Heat,EMC,Density,Samp,Tx ,Recept,Int.
1/18/2022,8:30 PM,8.333333333,8.333333333,8.277777778,96,7.722222222,0,SSW,0,0.9,SSW,8.333333333,8.5,8.5,1043.6,0,0,0.375,0,19.83333333,54,50.5,66.8,10.04,0.0766,385,3,59.1,30
1/18/2022,9:00 PM,8.277777778,8.333333333,8.277777778,96,7.666666667,0,SSW,0,0.4,SSW,8.277777778,8.444444444,8.444444444,1043.5,0,0,0.377,0,19.38888889,54,49.7,65.9,10.07,0.0767,668,3,100,30
1/18/2022,9:30 PM,8.055555556,8.277777778,8.055555556,96,7.444444444,0,---,0,0,---,8.055555556,8.222222222,8.222222222,1043.7,0,0,0.385,0,19.16666667,54,49.3,65.4,10.09,0.0768,667,3,100,30
1/18/2022,10:00 PM,8.055555556,8.111111111,8,96,7.444444444,0,---,0,0,---,8.055555556,8.222222222,8.222222222,1043.6,0,0,0.385,0,19.11111111,56,50.2,65.5,10.42,0.0768,656,3,100,30
1/18/2022,10:30 PM,8.277777778,8.277777778,8.055555556,96,7.666666667,0,SSW,0,0.4,SSW,8.277777778,8.444444444,8.444444444,1044.3,0,0,0.377,0,19.11111111,60,52.1,65.8,11.05,0.0768,657,3,100,30
1/18/2022,11:00 PM,8.333333333,8.333333333,8.277777778,96,7.722222222,0,SW,0,0.4,SW,8.333333333,8.5,8.5,1044.3,0,0,0.375,0,18.38888889,60,50.9,64.3,11.05,0.077,665,3,100,30
1/18/2022,11:30 PM,8.277777778,8.333333333,8.277777778,96,7.666666667,0,SW,0,0.9,SW,8.277777778,8.444444444,8.444444444,1044.6,0,0,0.377,0,18.22222222,60,50.6,64,11.05,0.0771,667,3,100,30
1/19/2022,12:00 AM,8.277777778,8.333333333,8.277777778,96,7.666666667,0,SSW,0,0.4,SW,8.277777778,8.444444444,8.444444444,1044.3,0,0,0.377,0,17.94444444,60,50.1,63.4,11.06,0.0771,666,3,100,30
1/19/2022,12:30 AM,8.166666667,8.277777778,8.111111111,96,7.555555556,0,---,0,0,---,8.166666667,8.333333333,8.333333333,1044.9,0,0,0.381,0,17.72222222,60,49.7,63,11.07,0.0773,667,3,100,30
1/19/2022,1:00 AM,7.944444444,8.166666667,7.944444444,96,7.333333333,0,---,0,0,---,7.944444444,8.111111111,8.111111111,1044.7,0,0,0.39,0,17.83333333,60,49.9,63.2,11.07,0.0772,666,3,100,30
1/19/2022,1:30 AM,7.555555556,8,7.555555556,95,6.833333333,0,SSW,0,0.4,SSW,7.555555556,7.722222222,7.722222222,1044.8,0,0,0.404,0,17.83333333,60,49.9,63.2,11.07,0.0772,666,3,100,30
1/19/2022,2:00 AM,7.388888889,7.611111111,7.333333333,96,6.777777778,0,---,0,0,---,7.388888889,7.555555556,7.555555556,1044.9,0,0,0.41,0,17.77777778,60,49.8,63.1,11.07,0.0772,666,3,100,30
1/19/2022,2:30 AM,7.5,7.555555556,7.333333333,97,7.055555556,0,SSW,0,0.4,SSW,7.5,7.666666667,7.666666667,1045.5,0,0,0.406,0,17.72222222,59,49.3,62.9,10.95,0.0773,670,3,100,30
1/19/2022,3:00 AM,7.444444444,7.5,7.444444444,97,7,0,---,0,0,---,7.444444444,7.611111111,7.611111111,1045.9,0,0,0.408,0,17.72222222,59,49.3,62.9,10.95,0.0773,664,3,100,30
1/19/2022,3:30 AM,7.777777778,7.777777778,7.444444444,97,7.333333333,0,S,0,1.8,S,7.777777778,7.944444444,7.944444444,1045.8,0,0,0.396,0,17.66666667,59,49.2,62.8,10.95,0.0774,667,3,100,30
1/19/2022,4:00 AM,7.666666667,7.833333333,7.666666667,96,7.055555556,0.4,SSE,0.8,1.3,SE,7.666666667,7.833333333,7.833333333,1045.6,0,0,0.4,0,17.61111111,59,49.1,62.7,10.95,0.0774,667,3,100,30
1/19/2022,4:30 AM,7.611111111,7.666666667,7.611111111,96,7,0,SSE,0,0.9,SSE,7.611111111,7.777777778,7.777777778,1045.8,0,0,0.402,0,17.66666667,59,49.2,62.8,10.95,0.0774,666,3,100,30
1/19/2022,5:00 AM,7.611111111,7.666666667,7.611111111,96,7,0,SSE,0,0.9,SSE,7.611111111,7.777777778,7.777777778,1045.7,0,0,0.402,0,17.72222222,59,49.3,62.9,10.95,0.0773,662,3,100,30
1/19/2022,5:30 AM,7.444444444,7.611111111,7.444444444,96,6.833333333,0,SSE,0,0.4,SSE,7.444444444,7.611111111,7.611111111,1046.1,0,0,0.408,0,17.66666667,59,49.2,62.8,10.95,0.0774,668,3,100,30
1/19/2022,6:00 AM,7.444444444,7.5,7.388888889,96,6.833333333,0,---,0,0,---,7.444444444,7.611111111,7.611111111,1046,0,0,0.408,0,17.61111111,58,48.6,62.6,10.75,0.0774,664,3,100,30
1/19/2022,6:30 AM,7.277777778,7.444444444,7.277777778,95,6.555555556,0,---,0,0,---,7.277777778,7.388888889,7.388888889,1046.1,0,0,0.415,0,17.55555556,58,48.5,62.5,10.75,0.0774,669,3,100,30
