,,Temp,Hi,Low,Out,Dew,Wind,Wind,Wind,Hi,Hi,Wind,Heat,THW,,,Rain,Heat,Cool,In ,In,In ,In ,In ,In Air,Wind,Wind,ISS ,Arc.,,,,,,,,,,hi temp - C,low temp - C ,temp out - C ,in temp - C ,out dew pt. - C ,,wind chill,heat,thw
Date,Time,Out,Temp,Temp,Hum,Pt.,Speed,Dir,Run,Speed,Dir,Chill,Index,Index,Bar  ,Rain,Rate,D-D ,D-D ,Temp,Hum,Dew,Heat,EMC,Density,Samp,Tx ,Recept,Int.,,,,,,,,,,40.8,40.6,40.6,62.5,37.6,,40.6,40.5,40.5
2/1/22,12:30 AM,4.777777778,4.888888889,4.777777778,89,3.111111111,0,S,0,0.4,S,4.777777778,4.722222222,4.722222222,1028.5,0,0,0.508,0,16.94444444,56,46.6,61.1,10.45,0.0763,665,3,100,30,,,,,,,,,,40.6,40.6,40.6,62.3,37.6,,40.6,40.5,40.5
2/1/22,1:00 AM,4.777777778,4.777777778,4.777777778,89,3.111111111,0,S,0,0.9,S,4.777777778,4.722222222,4.722222222,1028.4,0,0,0.508,0,16.83333333,56,46.4,60.9,10.45,0.0764,670,3,100,30,,,,,,,,,,40.7,40.5,40.5,62.5,37.5,,40.5,40.4,40.4
2/1/22,1:30 AM,4.722222222,4.833333333,4.722222222,89,3.055555556,0,S,0,0.4,S,4.722222222,4.666666667,4.666666667,1027.7,0,0,0.51,0,16.94444444,55,46.1,61,10.25,0.0763,663,3,100,30,,,,,,,,,,40.5,40,40,62.5,37.3,,40,39.9,39.9
2/1/22,2:00 AM,4.444444444,4.722222222,4.444444444,90,2.944444444,0,S,0,0.9,S,4.444444444,4.388888889,4.388888889,1027.7,0,0,0.521,0,16.94444444,55,46.1,61,10.25,0.0763,666,3,100,30,,,,,,,,,,40,39.7,39.7,62.2,37,,39.7,39.6,39.6
2/1/22,2:30 AM,4.277777778,4.444444444,4.277777778,90,2.777777778,0,S,0,0.4,S,4.277777778,4.222222222,4.222222222,1028.1,0,0,0.527,0,16.77777778,54,45.3,60.6,10.15,0.0764,668,3,100,30,,,,,,,,,,39.7,39.6,39.7,62.5,37,,39.7,39.6,39.6
2/1/22,3:00 AM,4.277777778,4.277777778,4.222222222,90,2.777777778,0,S,0,0.9,S,4.277777778,4.222222222,4.222222222,1027.5,0,0,0.527,0,16.94444444,54,45.6,61,10.15,0.0763,667,3,100,30,,,,,,,,,,40,39.7,40,62.4,36.7,,40,39.9,39.9
2/1/22,3:30 AM,4.444444444,4.444444444,4.277777778,88,2.611111111,0,SSE,0,1.3,SSE,4.444444444,4.388888889,4.388888889,1027.6,0,0,0.521,0,16.88888889,53,45,60.8,9.95,0.0763,666,3,100,30,,,,,,,,,,40,39.9,39.9,62.3,36.6,,39.9,39.8,39.8
2/1/22,4:00 AM,4.388888889,4.444444444,4.388888889,88,2.555555556,0,SSE,0,0.9,SSE,4.388888889,4.333333333,4.333333333,1027.5,0,0,0.523,0,16.83333333,53,44.9,60.7,9.95,0.0763,664,3,100,30,,,,,,,,,,39.9,39.8,39.8,62.5,36.5,,39.8,39.7,39.7
2/1/22,4:30 AM,4.333333333,4.388888889,4.333333333,88,2.5,0,SSE,0,0.9,S,4.333333333,4.277777778,4.277777778,1027.7,0,0,0.525,0,16.94444444,53,45.1,60.9,9.95,0.0763,667,3,100,30,,,,,,,,,,39.8,39.6,39.6,62.3,36.3,,39.6,39.5,39.5
2/1/22,5:00 AM,4.222222222,4.333333333,4.222222222,88,2.388888889,0,S,0,0.4,SSE,4.222222222,4.166666667,4.166666667,1027.7,0,0,0.529,0,16.83333333,53,44.9,60.7,9.95,0.0764,666,3,100,30,,,,,,,,,,39.6,39,39,62.4,36,,39,38.9,38.9
2/1/22,5:30 AM,3.888888889,4.222222222,3.888888889,89,2.222222222,0,SSW,0,0.4,S,3.888888889,3.833333333,3.833333333,1027.6,0,0,0.542,0,16.88888889,53,45,60.8,9.95,0.0763,668,3,100,30,,,,,,,,,,39,37.8,37.8,62.4,35.1,,37.8,37.7,37.7
2/1/22,6:00 AM,3.222222222,3.888888889,3.222222222,90,1.722222222,0,WSW,0,0.9,S,3.222222222,3.166666667,3.166666667,1027.7,0,0,0.567,0,16.88888889,52,44.5,60.7,9.75,0.0763,668,3,100,30,,,,,,,,,,37.7,37.1,37.1,62.4,34.7,,37.1,37,37
2/1/22,6:30 AM,2.833333333,3.166666667,2.833333333,91,1.5,0,SW,0,0.9,S,2.833333333,2.777777778,2.777777778,1027.8,0,0,0.581,0,16.88888889,52,44.5,60.7,9.75,0.0764,665,3,100,30,,,,,,,,,,37.1,36.8,36.9,62.2,34.8,,36.9,36.8,36.8
