		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	Heat	Cool	In 	In	In 	In 	In 	In Air	Temp	Hum		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	2nd	2nd	ET 	Samp	Tx 	Recept	Int.
01/11/22	11:10 a	21.3	21.4	21.3	45	8.9	0.0	NNW	0.00	2.7	NNW	21.3	20.2	20.2	---	1058.0	0.00	0.0	---	---	---	0.000	0.021	22.7	46	10.5	22.2	8.59	1.2314	---	---	0.00	101	6	50.0	10
01/11/22	11:20 a	20.8	21.5	18.6	48	9.4	0.9	NE	0.54	4.5	SSE	20.8	19.8	19.8	---	1054.3	0.00	0.0	---	---	---	0.000	0.017	23.4	44	10.4	22.9	8.27	1.2244	---	---	0.00	191	6	94.6	10
01/11/22	11:30 a	15.8	18.4	13.7	66	9.4	1.3	SSE	0.80	4.0	SE	15.8	15.2	15.2	---	1054.5	0.00	0.0	---	---	---	0.018	0.000	21.5	43	8.4	20.3	8.22	1.2344	---	---	0.00	205	6	100.0	10
01/11/22	11:40 a	12.8	13.6	12.2	72	7.9	1.3	SSE	0.80	3.6	SE	12.8	12.4	12.4	---	1054.4	0.00	0.0	---	---	---	0.039	0.000	19.0	43	6.1	17.8	8.25	1.2467	---	---	0.00	205	6	100.0	10
01/11/22	11:50 a	11.8	12.2	11.7	75	7.5	1.3	SE	0.80	4.0	SSE	11.8	11.6	11.6	---	1054.1	0.00	0.0	---	---	---	0.045	0.000	17.0	44	4.6	15.7	8.45	1.2560	---	---	0.00	205	6	100.0	10
01/11/22	12:00 p	11.6	11.7	11.5	76	7.5	1.3	SE	0.80	5.4	S	11.6	11.3	11.3	---	1053.8	0.00	0.0	---	---	---	0.047	0.000	15.6	45	3.7	14.3	8.65	1.2624	---	---	0.00	205	6	100.0	10
01/11/22	12:10 p	11.4	11.6	11.4	77	7.6	1.3	SE	0.80	4.0	SE	11.4	11.2	11.2	---	1053.7	0.00	0.0	---	---	---	0.048	0.000	14.7	46	3.2	13.4	8.85	1.2668	---	---	0.00	199	6	98.5	10
01/11/22	12:20 p	11.4	11.5	11.4	77	7.6	1.3	ESE	0.80	3.1	E	11.4	11.2	11.2	---	1053.4	0.00	0.0	---	---	---	0.048	0.000	14.1	47	2.9	12.9	8.95	1.2693	---	---	0.00	207	6	100.0	10
01/11/22	12:30 p	11.6	11.6	11.5	77	7.7	1.3	ENE	0.80	3.1	E	11.6	11.3	11.3	---	1053.1	0.00	0.0	---	---	---	0.047	0.000	13.6	48	2.8	12.4	9.15	1.2710	---	---	0.00	199	6	98.5	10
01/11/22	12:40 p	11.3	11.6	11.2	77	7.4	1.3	ENE	0.80	2.7	ENE	11.3	11.1	11.1	---	1052.9	0.25	0.0	---	---	---	0.049	0.000	13.3	49	2.8	12.2	9.35	1.2722	---	---	0.00	201	6	99.5	10
01/11/22	12:50 p	11.2	11.3	11.2	78	7.5	0.9	ENE	0.54	2.2	NE	11.2	11.1	11.1	---	1052.8	0.00	0.0	---	---	---	0.049	0.000	13.1	49	2.6	12.0	9.35	1.2731	---	---	0.00	200	6	99.0	10
01/11/22	1:00 p	11.3	11.3	11.2	78	7.6	0.9	ENE	0.54	2.2	ENE	11.3	11.1	11.1	---	1052.7	0.00	0.0	---	---	---	0.049	0.000	12.9	50	2.7	11.9	9.55	1.2737	---	---	0.00	199	6	98.5	10
01/11/22	1:10 p	11.3	11.3	11.3	78	7.6	1.3	ENE	0.80	3.6	E	11.2	11.1	11.1	---	1052.4	0.00	0.0	---	---	---	0.049	0.000	12.8	50	2.6	11.8	9.55	1.2739	---	---	0.00	200	6	99.0	10
01/11/22	1:20 p	11.2	11.3	11.2	79	7.7	0.9	E	0.54	2.7	ESE	11.2	11.1	11.1	---	1052.3	0.00	0.0	---	---	---	0.049	0.000	12.7	51	2.8	11.7	9.65	1.2742	---	---	0.00	203	6	100.0	10
01/11/22	1:30 p	11.3	11.3	11.2	79	7.8	0.9	ENE	0.54	2.2	ENE	11.3	11.1	11.1	---	1052.2	0.00	0.0	---	---	---	0.049	0.000	12.6	51	2.7	11.7	9.65	1.2743	---	---	0.00	200	6	99.0	10
01/11/22	1:40 p	11.4	11.4	11.3	79	7.9	0.9	ENE	0.54	2.7	E	11.4	11.2	11.2	---	1052.0	0.00	0.0	---	---	---	0.048	0.000	12.6	52	3.0	11.7	9.84	1.2739	---	---	0.00	206	6	100.0	10
01/11/22	1:50 p	11.5	11.6	11.4	79	8.0	0.9	ENE	0.54	3.1	E	11.5	11.3	11.3	---	1051.9	0.00	0.0	---	---	---	0.047	0.000	12.6	52	3.0	11.7	9.84	1.2738	---	---	0.00	204	6	100.0	10
01/11/22	2:00 p	11.7	11.7	11.6	79	8.1	0.9	ENE	0.54	2.7	ESE	11.7	11.5	11.5	---	1051.6	0.25	0.0	---	---	---	0.046	0.000	12.6	52	3.0	11.7	9.84	1.2734	---	---	0.00	206	6	100.0	10
01/11/22	2:10 p	11.7	11.8	11.7	78	8.0	0.9	ESE	0.54	2.7	E	11.7	11.5	11.5	---	1051.4	0.00	0.0	---	---	---	0.046	0.000	12.6	53	3.2	11.7	9.95	1.2732	---	---	0.00	206	6	100.0	10
01/11/22	2:20 p	11.7	11.7	11.6	79	8.1	1.3	ESE	0.80	3.6	ESE	11.7	11.5	11.5	---	1051.4	0.25	1.0	---	---	---	0.046	0.000	12.5	53	3.2	11.6	9.95	1.2736	---	---	0.00	205	6	100.0	10
01/11/22	2:30 p	11.5	11.6	11.4	79	8.0	1.3	ESE	0.80	3.1	E	11.5	11.3	11.3	---	1051.2	0.51	2.5	---	---	---	0.047	0.000	12.4	53	3.1	11.6	9.95	1.2736	---	---	0.00	206	6	100.0	10
01/11/22	2:40 p	11.5	11.6	11.4	79	8.0	1.3	ESE	0.80	3.6	E	11.5	11.3	11.3	---	1051.0	0.25	2.5	---	---	---	0.047	0.000	12.4	53	3.1	11.5	9.95	1.2736	---	---	0.00	207	6	100.0	10
01/11/22	2:50 p	11.5	11.6	11.4	80	8.2	1.3	ENE	0.80	3.6	E	11.5	11.3	11.3	---	1050.9	0.51	2.3	---	---	---	0.047	0.000	12.3	53	3.0	11.4	9.95	1.2738	---	---	0.00	207	6	100.0	10
01/11/22	3:00 p	11.4	11.4	11.3	80	8.1	0.9	ENE	0.54	3.1	ESE	11.4	11.3	11.3	---	1051.0	0.25	2.0	---	---	---	0.048	0.000	12.3	54	3.2	11.4	10.13	1.2740	---	---	0.00	204	6	100.0	10
01/11/22	3:10 p	11.3	11.3	11.3	80	8.0	0.9	ENE	0.54	2.7	NE	11.3	11.2	11.2	---	1051.0	0.25	2.0	---	---	---	0.049	0.000	12.2	54	3.2	11.4	10.13	1.2743	---	---	0.00	207	6	100.0	10
01/11/22	3:20 p	11.3	11.3	11.2	81	8.1	1.3	ENE	0.80	3.6	ESE	11.2	11.2	11.1	---	1050.9	0.00	1.0	---	---	---	0.049	0.000	12.2	54	3.2	11.4	10.13	1.2742	---	---	0.00	206	6	100.0	10
01/11/22	3:30 p	11.3	11.3	11.2	81	8.1	1.3	ENE	0.80	3.6	ENE	11.2	11.2	11.1	---	1050.9	0.25	1.0	---	---	---	0.049	0.000	12.2	55	3.4	11.4	10.33	1.2740	---	---	0.00	207	6	100.0	10
01/11/22	3:40 p	11.3	11.3	11.3	81	8.2	1.3	E	0.80	3.1	ENE	11.3	11.2	11.2	---	1050.7	0.25	1.0	---	---	---	0.049	0.000	12.2	55	3.4	11.4	10.33	1.2738	---	---	0.00	208	6	100.0	10
01/11/22	3:50 p	11.3	11.3	11.3	81	8.2	1.8	ESE	1.07	4.0	ESE	10.9	11.2	10.8	---	1050.6	0.00	1.0	---	---	---	0.049	0.000	12.2	55	3.4	11.3	10.33	1.2739	---	---	0.00	207	6	100.0	10
01/11/22	4:00 p	11.3	11.3	11.2	81	8.1	2.2	ESE	1.34	4.5	SE	10.5	11.2	10.4	---	1050.5	0.00	0.0	---	---	---	0.049	0.000	12.2	55	3.4	11.3	10.33	1.2738	---	---	0.00	208	6	100.0	10
01/11/22	4:10 p	11.2	11.2	11.2	81	8.0	2.7	ESE	1.61	5.8	E	10.1	11.1	9.9	---	1050.4	0.25	0.0	---	---	---	0.050	0.000	12.2	56	3.6	11.4	10.43	1.2735	---	---	0.00	209	6	100.0	10
