		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	Heat	Cool	In 	In	In 	In 	In 	In Air	Temp	Hum		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	2nd	2nd	ET 	Samp	Tx 	Recept	Int.
02/23/22	12:00 a	0.3	0.3	0.2	44	-10.6	1.3	ENE	0.80	3.6	ENE	-1.2	-0.3	-1.7	---	1032.1	0.00	0.0	---	---	---	0.125	0.000	2.3	50	-7.1	1.7	9.63	1.3016	---	---	0.00	190	6	94.1	10
02/23/22	12:10 a	0.1	0.2	-0.1	45	-10.5	1.3	ENE	0.80	3.6	ESE	-1.4	-0.5	-2.0	---	1032.2	0.00	0.0	---	---	---	0.127	0.000	2.2	50	-7.1	1.7	9.63	1.3019	---	---	0.00	193	6	95.5	10
02/23/22	12:20 a	-0.1	-0.1	-0.1	47	-10.0	1.3	ENE	0.80	3.1	ENE	-1.6	-0.6	-2.1	---	1032.1	0.00	0.0	---	---	---	0.128	0.000	2.1	50	-7.2	1.6	9.63	1.3024	---	---	0.00	195	6	96.5	10
02/23/22	12:30 a	-0.2	-0.1	-0.2	48	-9.9	1.3	NE	0.80	2.2	E	-1.7	-0.7	-2.2	---	1032.1	0.00	0.0	---	---	---	0.128	0.000	2.0	50	-7.4	1.4	9.64	1.3030	---	---	0.00	196	6	97.0	10
02/23/22	12:40 a	-0.3	-0.2	-0.5	49	-9.8	0.9	ENE	0.54	1.8	ENE	-0.9	-0.8	-1.4	---	1032.2	0.00	0.0	---	---	---	0.130	0.000	1.9	50	-7.5	1.4	9.64	1.3036	---	---	0.00	195	6	96.5	10
02/23/22	12:50 a	-0.5	-0.4	-0.6	49	-9.9	0.9	ENE	0.54	1.8	E	-1.1	-1.0	-1.6	---	1032.2	0.00	0.0	---	---	---	0.131	0.000	1.8	50	-7.6	1.3	9.65	1.3042	---	---	0.00	197	6	97.5	10
02/23/22	1:00 a	-0.7	-0.6	-0.8	50	-9.8	0.0	E	0.00	1.3	ENE	-0.7	-1.2	-1.2	---	1032.3	0.00	0.0	---	---	---	0.132	0.000	1.7	50	-7.6	1.2	9.65	1.3046	---	---	0.00	195	6	96.5	10
02/23/22	1:10 a	-1.0	-0.8	-1.1	51	-9.9	0.0	ENE	0.00	0.9	ENE	-1.0	-1.4	-1.4	---	1032.3	0.00	0.0	---	---	---	0.134	0.000	1.7	50	-7.7	1.2	9.65	1.3049	---	---	0.00	197	6	97.5	10
02/23/22	1:20 a	-1.1	-1.0	-1.2	51	-9.9	0.9	ENE	0.54	2.2	NE	-1.7	-1.5	-2.2	---	1032.4	0.00	0.0	---	---	---	0.135	0.000	1.6	50	-7.8	1.1	9.65	1.3055	---	---	0.00	198	6	98.0	10
02/23/22	1:30 a	-1.3	-1.0	-1.6	50	-10.4	1.3	N	0.80	2.2	N	-2.9	-1.7	-3.4	---	1032.4	0.00	0.0	---	---	---	0.136	0.000	1.5	50	-7.8	1.0	9.66	1.3058	---	---	0.00	195	6	96.5	10
