		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
02/16/22	12:10 a	7.2	7.2	7.2	88	5.3	0.0	---	0.00	0.0	---	7.2	7.2	7.2	1023.6	0.00	0.0	0.078	0.000	8.8	64	2.3	8.4	11.99	1.2565	160	1	70.2	10
02/16/22	12:20 a	7.2	7.2	7.2	88	5.3	0.0	---	0.00	0.0	---	7.2	7.2	7.2	1023.8	0.00	0.0	0.078	0.000	8.8	64	2.3	8.4	11.99	1.2568	154	1	67.5	10
02/16/22	12:30 a	7.2	7.2	7.2	88	5.3	0.0	---	0.00	0.0	---	7.2	7.2	7.2	1023.7	0.00	0.0	0.078	0.000	8.8	64	2.4	8.4	11.99	1.2564	160	1	70.2	10
02/16/22	12:40 a	7.2	7.2	7.2	89	5.5	0.0	NE	0.00	0.9	ENE	7.2	7.2	7.2	1023.9	0.00	0.0	0.078	0.000	8.9	64	2.4	8.5	11.99	1.2564	161	1	70.6	10
02/16/22	12:50 a	7.2	7.2	7.1	89	5.5	0.0	NE	0.00	0.4	ENE	7.2	7.2	7.2	1024.1	0.00	0.0	0.078	0.000	8.9	64	2.4	8.5	11.99	1.2566	158	1	69.3	10
02/16/22	1:00 a	7.1	7.2	7.1	88	5.3	0.0	---	0.00	0.0	---	7.1	7.1	7.1	1024.1	0.00	0.0	0.078	0.000	8.9	64	2.4	8.5	11.99	1.2566	157	1	68.9	10
02/16/22	1:10 a	7.1	7.1	7.1	88	5.3	0.0	---	0.00	0.0	---	7.1	7.1	7.1	1024.0	0.00	0.0	0.078	0.000	8.9	64	2.5	8.6	11.99	1.2562	157	1	68.9	10
02/16/22	1:20 a	7.1	7.1	7.1	89	5.4	0.0	NE	0.00	0.4	NE	7.1	7.1	7.1	1023.9	0.00	0.0	0.078	0.000	8.9	64	2.5	8.6	11.99	1.2561	163	1	71.5	10
02/16/22	1:30 a	7.1	7.1	7.1	88	5.2	0.0	NE	0.00	0.4	NE	7.1	7.1	7.1	1023.9	0.00	0.0	0.078	0.000	9.0	65	2.8	8.6	12.19	1.2556	155	1	68.0	10
02/16/22	1:40 a	7.1	7.1	7.1	87	5.0	0.0	---	0.00	0.0	---	7.1	7.1	7.1	1023.9	0.00	0.0	0.078	0.000	9.1	65	2.8	8.7	12.18	1.2554	167	1	73.2	10
02/16/22	1:50 a	7.1	7.1	7.1	87	5.1	0.0	---	0.00	0.0	---	7.1	7.1	7.1	1023.9	0.00	0.0	0.078	0.000	9.1	65	2.9	8.7	12.18	1.2551	163	1	71.5	10
